# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	27595	28365	+	NP_214537.1	WP_003400391.1		transcriptional regulator		887062	Rv0023	771	256	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	28362	29207	+						887061	Rv0024	846		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	28362	29207	+	NP_214538.1	WP_003400393.1		NLP/P60 family protein		887061	Rv0024	846	281	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	29245	29607	+						887060	Rv0025	363		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	29245	29607	+	NP_214539.1	WP_003400395.1		hypothetical protein		887060	Rv0025	363	120	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	29722	31068	+						887057	Rv0026	1347		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	29722	31068	+	NP_214540.1	WP_003901770.1		hypothetical protein		887057	Rv0026	1347	448	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	31189	31506	+						887054	Rv0027	318		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	31189	31506	+	NP_214541.1	WP_003400401.1		hypothetical protein		887054	Rv0027	318	105	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	31514	31819	+						885812	Rv0028	306		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	31514	31819	+	NP_214542.1	WP_003400405.1		hypothetical protein		885812	Rv0028	306	101	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	32057	33154	+						887053	Rv0029	1098		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	32057	33154	+	NP_214543.1	WP_003400411.1		hypothetical protein		887053	Rv0029	1098	365	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	33224	33553	+						887051	Rv0030	330		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	33224	33553	+	NP_214544.1	WP_003400413.1		hypothetical protein		887051	Rv0030	330	109	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	34295	36610	+					bioF2	887050	Rv0032	2316		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	34295	36610	+	NP_214546.1	WP_003905217.1		8-amino-7-oxononanoate synthase	bioF2	887050	Rv0032	2316	771	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	36607	36870	+					acpA	887052	Rv0033	264		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	36607	36870	+	NP_214547.1	WP_003400418.1		acyl carrier protein AcpA	acpA	887052	Rv0033	264	87	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	36867	37262	+						887046	Rv0034	396		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	36867	37262	+	NP_214548.1	WP_003400421.1		hypothetical protein		887046	Rv0034	396	131	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	37259	38947	+					fadD34	887048	Rv0035	1689		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	37259	38947	+	YP_177686.1	WP_003400425.1		fatty-acid--CoA ligase FadD34	fadD34	887048	Rv0035	1689	562	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	39056	39829	-						887043	Rv0036c	774		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	39056	39829	-	NP_214550.1	WP_003400427.1		hypothetical protein		887043	Rv0036c	774	257	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	39877	41202	-						887042	Rv0037c	1326		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	39877	41202	-	NP_214551.1	WP_003400431.1		MFS-type transporter		887042	Rv0037c	1326	441	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	41304	41912	+						887045	Rv0038	609		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	41304	41912	+	NP_214552.1	WP_003400460.1		hypothetical protein		887045	Rv0038	609	202	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	42004	42351	-						887038	Rv0039c	348		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	42004	42351	-	NP_214553.1	WP_003907179.1		transmembrane protein		887038	Rv0039c	348	115	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	42433	43365	-					mtc28	887037	Rv0040c	933		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	42433	43365	-	NP_214554.2	WP_003900793.1		hypothetical protein	mtc28	887037	Rv0040c	933	310	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	43562	46471	+					leuS	887040	Rv0041	2910		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	43562	46471	+	NP_214555.1	WP_003900794.1		leucine--tRNA ligase	leuS	887040	Rv0041	2910	969	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	46581	47207	-						887034	Rv0042c	627		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	46581	47207	-	NP_214556.1	WP_003400476.1		transcriptional regulator		887034	Rv0042c	627	208	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	47366	48100	-						887032	Rv0043c	735		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	47366	48100	-	NP_214557.1	WP_003899786.1		HTH-type transcriptional regulator		887032	Rv0043c	735	244	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	48233	49027	-						887030	Rv0044c	795		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	48233	49027	-	NP_214558.1	WP_003400486.1		oxidoreductase		887030	Rv0044c	795	264	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	49043	49939	-						887029	Rv0045c	897		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	49043	49939	-	NP_214559.1	WP_003400489.1		hydrolase		887029	Rv0045c	897	298	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	50021	51124	-					ino1	887028	Rv0046c	1104		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	50021	51124	-	NP_214560.1	WP_003902822.1		inositol-3-phosphate synthase	ino1	887028	Rv0046c	1104	367	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	51185	51727	-						887031	Rv0047c	543		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	51185	51727	-	NP_214561.1	WP_003899787.1		hypothetical protein		887031	Rv0047c	543	180	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	51828	52697	-						887027	Rv0048c	870		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	51828	52697	-	NP_214562.1	WP_003907183.1		membrane protein		887027	Rv0048c	870	289	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	52831	53244	+						887024	Rv0049	414		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	52831	53244	+	NP_214563.1	WP_003400504.1		hypothetical protein		887024	Rv0049	414	137	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	53663	55699	+					ponA1	887065	Rv0050	2037		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	53663	55699	+	YP_177687.1	WP_010886063.1		bifunctional penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	ponA1	887065	Rv0050	2037	678	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	55696	57378	+						887018	Rv0051	1683		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	55696	57378	+	NP_214565.1	WP_003400514.1		transmembrane protein		887018	Rv0051	1683	560	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	57410	57973	+						887015	Rv0052	564		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	57410	57973	+	NP_214566.3	WP_003400517.1		hypothetical protein		887015	Rv0052	564	187	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	58192	58482	+					rpsF	887020	Rv0053	291		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	58192	58482	+	NP_214567.1	WP_003400520.1		30S ribosomal protein S6	rpsF	887020	Rv0053	291	96	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	58586	59080	+					ssb	887013	Rv0054	495		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	58586	59080	+	NP_214568.1	WP_003400534.1		single-strand DNA-binding protein	ssb	887013	Rv0054	495	164	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	59122	59376	+					rpsR1	887022	Rv0055	255		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	59122	59376	+	YP_177688.1	WP_003400540.1		30S ribosomal protein S18	rpsR1	887022	Rv0055	255	84	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	59409	59867	+					rplI	887010	Rv0056	459		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	59409	59867	+	NP_214570.1	WP_003400543.1		50S ribosomal protein L9	rplI	887010	Rv0056	459	152	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	59896	60417	+						887008	Rv0057	522		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	59896	60417	+	NP_214571.1	WP_003900797.1		hypothetical protein		887008	Rv0057	522	173	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	60396	63020	+					dnaB	887009	Rv0058	2625		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	60396	63020	+	NP_214572.1	WP_003916208.1		replicative DNA helicase	dnaB	887009	Rv0058	2625	874	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	63200	63892	+						887006	Rv0059	693		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	63200	63892	+	NP_214573.1	WP_003400548.1		hypothetical protein		887006	Rv0059	693	230	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	63909	64967	+						887004	Rv0060	1059		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	63909	64967	+	NP_214574.1	WP_003400551.1		hypothetical protein		887004	Rv0060	1059	352	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	65012	65350	-						14515843	Rv0061c	339		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	65012	65350	-	YP_007408697.1	WP_003899794.1		hypothetical protein		14515843	Rv0061c	339	112	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	65552	66694	+					celA1	887007	Rv0062	1143		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	65552	66694	+	YP_177689.1	WP_003400562.1		cellulase CelA	celA1	887007	Rv0062	1143	380	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	66923	68362	+						886999	Rv0063	1440		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	66923	68362	+	NP_214577.1	WP_003901784.1		oxidoreductase		886999	Rv0063	1440	479	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	68418	68579	+						19394667	Rv0063a	162		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	68418	68579	+	YP_009030026.1	WP_003899796.1		hypothetical protein		19394667	Rv0063a	162	53	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	68620	71559	+						886996	Rv0064	2940		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	68620	71559	+	NP_214578.1	WP_010886064.1		transmembrane protein		886996	Rv0064	2940	979	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	71589	71828	+					vapB1	14515844	Rv0064A	240		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	71589	71828	+	YP_007408701.1	WP_003400577.1		antitoxin VapB1	vapB1	14515844	Rv0064A	240	79	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	71821	72222	+					vapC1	886993	Rv0065	402		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	71821	72222	+	NP_214579.1	WP_003400580.1		ribonuclease VapC1	vapC1	886993	Rv0065	402	133	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	72274	74511	-					icd2	887016	Rv0066c	2238		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	72274	74511	-	NP_214580.1	WP_003899797.1		isocitrate dehydrogenase	icd2	887016	Rv0066c	2238	745	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	74629	75198	-						886991	Rv0067c	570		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	74629	75198	-	NP_214581.1	WP_003400591.1		transcriptional regulator		886991	Rv0067c	570	189	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	75301	76212	+						886989	Rv0068	912		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	75301	76212	+	NP_214582.1	WP_003912371.1		oxidoreductase		886989	Rv0068	912	303	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	76237	77622	-					sdaA	886986	Rv0069c	1386		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	76237	77622	-	NP_214583.1	WP_003400600.1		L-serine dehydratase	sdaA	886986	Rv0069c	1386	461	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	77619	78896	-					glyA2	886983	Rv0070c	1278		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	77619	78896	-	NP_214584.1	WP_003899799.1		serine hydroxymethyltransferase	glyA2	886983	Rv0070c	1278	425	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	79486	80193	+						886988	Rv0071	708		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	79486	80193	+	NP_214585.1	WP_003913073.1		maturase		886988	Rv0071	708	235	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	80624	81673	+						886984	Rv0072	1050		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	80624	81673	+	NP_214586.1	WP_003400616.1		glutamine ABC transporter permease		886984	Rv0072	1050	349	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	81676	82668	+						886977	Rv0073	993		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	81676	82668	+	NP_214587.1	WP_003899801.1		glutamine ABC transporter ATP-binding protein		886977	Rv0073	993	330	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	82748	83983	+						886976	Rv0074	1236		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	82748	83983	+	NP_214588.1	WP_003400620.1		hypothetical protein		886976	Rv0074	1236	411	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	83996	85168	+						886982	Rv0075	1173		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	83996	85168	+	NP_214589.1	WP_003400622.1		aminotransferase		886982	Rv0075	1173	390	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	85183	85572	-						886992	Rv0076c	390		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	85183	85572	-	NP_214590.1	WP_003400629.1		membrane protein		886992	Rv0076c	390	129	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	85636	86466	-						886969	Rv0077c	831		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	85636	86466	-	NP_214591.1	WP_003900801.1		oxidoreductase		886969	Rv0077c	831	276	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	86528	87133	+						886990	Rv0078	606		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	86528	87133	+	NP_214592.1	WP_003899803.1		transcriptional regulator		886990	Rv0078	606	201	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	87208	87801	-						3205053	Rv0078A	594		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	87208	87801	-	YP_177616.1	WP_003400645.1		hypothetical protein		3205053	Rv0078A	594	197	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	87798	88004	-						14515845	Rv0078B	207		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	87798	88004	-	YP_007408717.1	WP_003400649.1		hypothetical protein		14515845	Rv0078B	207	68	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	88204	89025	+						886995	Rv0079	822		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	88204	89025	+	NP_214593.1	WP_003400655.1		hypothetical protein		886995	Rv0079	822	273	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	89022	89480	+						886966	Rv0080	459		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	89022	89480	+	NP_214594.1	WP_003899804.1		hypothetical protein		886966	Rv0080	459	152	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	89575	89919	+						887012	Rv0081	345		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	89575	89919	+	NP_214595.1	WP_003400657.1		HTH-type transcriptional regulator		887012	Rv0081	345	114	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	89924	90403	+						886968	Rv0082	480		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	89924	90403	+	NP_214596.2	WP_003400658.1		oxidoreductase		886968	Rv0082	480	159	
gene	protein_coding	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	90400	92322	+						886965	Rv0083	1923		
CDS	with_protein	GCF_000195955.2	Primary Assembly	chromosome		NC_000962.3	90400	92322	+	NP_214597.1	WP_003907280.1		oxidoreductase		886965	Rv0083	1923	640	
